Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
24,Argentina,Latin America and Caribbean,6.599,6.33588,0.89437,67,"0,75127","0,13061","0,12866",2017
51,Japan,East Asia,5.92,7.57399,0.89182,74,"0,76814","0,14387","0,35270",2017
105,Bulgaria,Central and Eastern Europe,4.714,6.20847,0.8906,68,"0,43940","0,13504","0,02380",2017
82,Venezuela,Latin America and Caribbean,5.25,6.03192,0.88871,65,"0,23395","0,07758","0,13890",2017
22,Brazil,Latin America and Caribbean,6.635,5.91925,0.88869,65,"0,66457","0,19372","0,23927",2017
6,Netherlands,Western Europe,7.377,8.03919,0.88722,71,"0,88931","0,56139","0,60878",2017
32,Thailand,Southeast Asia,6.424,6.02892,0.88527,66,"0,88143","0,68266","0,06809",2017
14,United States,North America and ANZ,6.993,8.26538,0.88162,70,"0,76831","0,46843","0,29213",2017
12,Costa Rica,Latin America and Caribbean,7.079,5.93183,0.87944,69,"0,88133","0,25608","0,21560",2017
28,Uruguay,Latin America and Caribbean,6.454,6.50835,0.87685,68,"0,88020","0,20893","0,38350",2017
54,Latvia,Western Europe,5.85,6.73921,0.87218,66,"0,49481","0,18265","0,15904",2017
86,Dominican Republic,Latin America and Caribbean,5.23,5.76969,0.87076,64,"0,83948","0,22309","0,24541",2017
36,Colombia,Latin America and Caribbean,6.357,5.72291,0.87061,64,"0,72539","0,17781","0,10051",2017
132,Ukraine,Commonwealth of Independent States,4.096,4.78228,0.86586,64,"0,18682","0,32224","0,04960",2017
98,Kyrgyzstan,Commonwealth of Independent States,5.004,3.18704,0.86568,63,"0,69114","0,51139","0,08494",2017
31,France,Western Europe,6.442,7.64887,0.86167,72,"0,71435","0,15483","0,37153",2017
101,South Africa,Sub-Saharan Africa,4.829,5.63779,0.85981,53,"0,72806","0,16629","0,15617",2017
60,Kazakhstan,Commonwealth of Independent States,5.819,6.86647,0.85955,65,"0,66457","0,24099","0,25690",2017
11,Israel,Middle East and North Africa,7.213,7.35198,0.85453,72,"0,61677","0,39386","0,18359",2017
30,Panama,Latin America and Caribbean,6.452,6.59488,0.85261,68,"0,83559","0,25124","0,15288",2017
76,Jamaica,Latin America and Caribbean,5.311,4.9476,0.84952,66,"0,72056","0,27899","0,11903",2017
89,Portugal,Western Europe,5.195,7.03014,0.84879,70,"0,75726","0,11348","0,03418",2017
26,Singapore,Southeast Asia,6.572,9.04591,0.84058,75,"0,83531","0,41281","1,00000",2017
75,Hungary,Central and Eastern Europe,5.324,6.87425,0.83395,67,"0,26717","0,09355","0,07891",2017
43,Nicaragua,Latin America and Caribbean,6.071,3.94116,0.79923,66,"0,67991","0,35996","0,28147",2017
37,Saudi Arabia,Middle East and North Africa,6.344,8.1818,0.79889,64,"0,68325","0,17614","0,58890",2017
44,Ecuador,Latin America and Caribbean,6.008,5.34979,0.79858,67,"0,69153","0,17912","0,30181",2017
42,Malaysia,Southeast Asia,6.084,6.90207,0.79763,65,"0,61111","0,49710","0,14129",2017
20,Chile,Latin America and Caribbean,6.652,6.69664,0.79725,71,"0,57257","0,38978","0,17723",2017
127,Mali,Sub-Saharan Africa,4.19,2.54538,0.79566,52,"0,46580","0,21878","0,22608",2017
94,Vietnam,Southeast Asia,5.074,4.21511,0.79319,66,"0,86754","0,28037","0,18874",2017
81,Indonesia,Southeast Asia,5.262,5.32156,0.7913,62,"0,67349","0,72989","0,03299",2017
123,Mauritania,Middle East and North Africa,4.292,3.46627,0.7898,56,"0,14599","0,24087","0,29497",2017
21,United Arab Emirates,Middle East and North Africa,6.648,8.69346,0.78631,68,"0,92419","0,43068","0,69887",2017
120,Sri Lanka,South Asia,4.44,5.39806,0.78232,65,"0,85259","0,58570","0,15863",2017
73,Serbia,Central and Eastern Europe,5.395,5.71594,0.78121,66,"0,31708","0,26266","0,08810",2017
29,Guatemala,Latin America and Caribbean,6.454,4.6612,0.77959,63,"0,80716","0,33826","0,16632",2017
72,Philippines,Southeast Asia,5.43,4.58475,0.77855,61,"0,88905","0,23090","0,21394",2017
56,Moldova,Central and Eastern Europe,5.838,3.89611,0.77725,64,"0,36571","0,24912","0,02173",2017
87,Greece,,5.227,6.89283,0.76955,71,"0,14543","0,00000","0,09324",2017
74,Jordan,Middle East and North Africa,5.336,5.29736,0.76935,65,"0,63566","0,20544","0,25803",2017
83,Montenegro,Central and Eastern Europe,5.237,5.99289,0.7689,67,"0,29622","0,23615","0,18990",2017
58,Bolivia,Latin America and Caribbean,5.823,4.45677,0.76222,61,"0,84882","0,26914","0,13025",2017
142,Botswana,Sub-Saharan Africa,3.766,5.99805,0.75846,57,"0,76749","0,11854","0,21232",2017
63,Peru,Latin America and Caribbean,5.715,5.5337,0.75673,66,"0,68364","0,15132","0,10133",2017
95,Nigeria,Sub-Saharan Africa,5.074,4.18949,0.75487,49,"0,60001","0,27557","0,05626",2017
25,Mexico,Latin America and Caribbean,6.578,6.16423,0.75182,68,"0,62701","0,14437","0,28596",2017
64,Mauritius,Sub-Saharan Africa,5.629,6.3578,0.75101,66,"0,74629","0,43067","0,09085",2017
45,El Salvador,Latin America and Caribbean,6.003,4.86317,0.73398,65,"0,65697","0,09338","0,19380",2017
115,Senegal,Sub-Saharan Africa,4.535,2.5621,0.73247,59,"0,57413","0,21892","0,24867",2017
99,Nepal,South Asia,4.962,2.56483,0.73221,62,"0,66891","0,47024","0,15717",2017
79,China,East Asia,5.273,5.77927,0.72076,69,"0,71825","0,03437","0,04909",2017
118,Gabon,Sub-Saharan Africa,4.465,6.40492,0.71752,58,"0,47448","0,05225","0,16379",2017
57,Romania,Central and Eastern Europe,5.825,6.50901,0.71409,67,"0,69427","0,15932","0,00945",2017
91,Honduras,Latin America and Caribbean,5.181,3.90521,0.71027,64,"0,52880","0,28182","0,15797",2017
78,Kosovo,Central and Eastern Europe,5.279,5.08607,0.70649,63,"0,39542","0,38175","0,12378",2017
65,Cyprus,Western Europe,5.621,7.24804,0.70246,72,"0,53948","0,32366","0,08882",2017
133,Uganda,Sub-Saharan Africa,4.081,2.0389,0.70151,54,"0,67328","0,38871","0,12291",2017
88,Lebanon,Middle East and North Africa,5.225,5.74624,0.70138,69,"0,43831","0,31555","0,08080",2017
55,South Korea,East Asia,5.838,7.49254,0.70054,73,"0,39183","0,24661","0,13629",2017
114,Myanmar,Southeast Asia,4.545,1.96235,0.69741,59,"0,78161","1,00000","0,40666",2017
138,Zimbabwe,Sub-Saharan Africa,3.875,2.00905,0.67249,53,"0,51103","0,22569","0,20541",2017
90,Bosnia and Herzegovina,Central and Eastern Europe,5.182,5.25138,0.66395,68,"0,31053","0,39241","0,00000",2017
112,Kenya,Sub-Saharan Africa,4.553,2.99599,0.66309,56,"0,68783","0,53081","0,13922",2017
134,Burkina Faso,Sub-Saharan Africa,4.032,1.87211,0.64777,54,"0,49277","0,29933","0,25916",2017
153,Tanzania,Sub-Saharan Africa,3.349,2.73223,0.64697,58,"0,59251","0,42270","0,14222",2017
121,Armenia,Commonwealth of Independent States,4.376,4.81405,0.62554,66,"0,30126","0,09962","0,05745",2017
129,Cambodia,Southeast Asia,4.168,3.21668,0.62477,60,"0,96221","0,46049","0,14668",2017
116,Zambia,Sub-Saharan Africa,4.514,3.40185,0.62288,55,"0,70126","0,29780","0,16845",2017
104,Egypt,Middle East and North Africa,4.735,5.29036,0.61933,62,"0,42858","0,15348","0,24635",2017
135,Niger,Sub-Saharan Africa,4.028,0.86556,0.61657,55,"0,55246","0,27286","0,29845",2017
106,Sierra Leone,Sub-Saharan Africa,4.709,1.96936,0.61105,47,"0,48416","0,34966","0,15312",2017
117,Iraq,Middle East and North Africa,4.497,5.89443,0.60762,62,"0,43837","0,23821","0,23092",2017
77,Croatia,Central and Eastern Europe,5.293,6.53506,0.60102,68,"0,38856","0,29592","0,09283",2017
137,Chad,Sub-Saharan Africa,3.936,2.34136,0.59225,48,"0,24663","0,25787","0,11540",2017
107,Cameroon,Sub-Saharan Africa,4.695,3.01644,0.58738,51,"0,65384","0,28195","0,11050",2017
144,Madagascar,Sub-Saharan Africa,3.644,1.63467,0.56689,58,"0,28742","0,24906","0,14480",2017
128,Ivory Coast,Sub-Saharan Africa,4.18,3.22354,0.56177,49,"0,68015","0,24012","0,28012",2017
131,Ghana,Sub-Saharan Africa,4.12,3.56659,0.54246,56,"0,64265","0,30656","0,05457",2017
148,Liberia,Sub-Saharan Africa,3.533,0.63633,0.5415,54,"0,50571","0,31805","0,08388",2017
102,Tunisia,Middle East and North Africa,4.805,5.38424,0.53916,65,"0,44008","0,05929","0,18678",2017
119,Ethiopia,Sub-Saharan Africa,4.46,1.81334,0.53687,58,"0,62111","0,37306","0,35635",2017
109,Albania,Central and Eastern Europe,4.644,5.32505,0.49901,68,"0,57957","0,24021","0,08586",2017
149,Guinea,Sub-Saharan Africa,3.507,1.30722,0.49128,53,"0,52957","0,31598","0,23893",2017
84,Morocco,Middle East and North Africa,5.235,4.69388,0.48111,65,"0,62007","0,03843","0,18902",2017
122,India,South Asia,4.315,4.23474,0.46839,60,"0,71400","0,27627","0,19863",2017
110,Bangladesh,South Asia,4.608,3.13606,0.45644,63,"0,72671","0,20554","0,26646",2017
108,Iran,Middle East and North Africa,4.692,6.18396,0.4418,66,"0,37877","0,46206","0,10502",2017
80,Pakistan,South Asia,5.269,3.88549,0.41767,59,"0,35733","0,37639","0,26781",2017
141,Afghanistan,South Asia,3.794,2.14606,0.36108,53,"0,16131","0,37213","0,13172",2017
125,Georgia,Commonwealth of Independent States,4.286,5.08141,0.35429,66,"0,47005","0,06444","0,54203",2017
136,Malawi,Sub-Saharan Africa,3.97,1.24784,0.31825,56,"0,70933","0,34265","0,15660",2017
143,Benin,Sub-Saharan Africa,3.657,2.30433,0.27028,53,"0,64712","0,24813","0,13123",2017
150,Togo,Sub-Saharan Africa,3.495,1.63273,0.26815,54,"0,57794","0,23494","0,20604",2017
145,Afghanistan,South Asia,3.6315,2.01215,0.20121,59,"0,11671","0,31964","0,07937",2018
112,Albania,Central and Eastern Europe,4.586,5.55338,0.55534,70,"0,57789","0,24970","0,07098",2018
29,Argentina,Latin America and Caribbean,6.388,6.50476,0.65048,69,"0,78637","0,10366","0,11709",2018
129,Armenia,Commonwealth of Independent States,4.3206,4.95064,0.49506,68,"0,35902","0,12894","0,06049",2018
10,Australia,North America and ANZ,7.2721,8.12558,0.81256,73,"0,89240","0,60412","0,66165",2018
12,Austria,Western Europe,7.1394,8.13407,0.81341,73,"0,85198","0,40499","0,48979",2018
115,Bangladesh,South Asia,4.5004,3.22814,0.32281,66,"0,80007","0,25600","0,31470",2018
16,Belgium,Western Europe,6.9269,8.02595,0.8026,73,"0,80429","0,31467","0,52606",2018
136,Benin,Sub-Saharan Africa,4.1414,2.29103,0.2291,58,"0,60699","0,27317","0,14625",2018
62,Bolivia,Latin America and Caribbean,5.7519,4.55479,0.45548,64,"0,83610","0,23621","0,11778",2018
93,Bosnia and Herzegovina,Central and Eastern Europe,5.1294,5.54813,0.55481,70,"0,38691","0,36134","0,00000",2018
146,Botswana,Sub-Saharan Africa,3.5898,6.16459,0.61646,62,"0,76855","0,07090","0,20189",2018
28,Brazil,Latin America and Caribbean,6.4189,5.97856,0.59786,68,"0,68113","0,18451","0,19214",2018
100,Bulgaria,Central and Eastern Europe,4.9331,6.3942,0.63942,69,"0,49519","0,10746","0,02044",2018
121,Burkina Faso,Sub-Saharan Africa,4.4244,1.9021,0.19021,59,"0,43015","0,29362","0,27995",2018
120,Cambodia,Southeast Asia,4.4326,3.32717,0.33272,63,"0,96122","0,42895","0,14208",2018
99,Cameroon,Sub-Saharan Africa,4.9753,3.24223,0.32422,57,"0,62613","0,30590","0,09497",2018
7,Canada,North America and ANZ,7.3285,8.06773,0.80677,73,"0,90143","0,53657","0,63660",2018
131,Chad,Sub-Saharan Africa,4.3006,2.16991,0.21699,54,"0,26075","0,30259","0,13119",2018
25,Chile,Latin America and Caribbean,6.4762,6.86033,0.68603,71,"0,59523","0,32976","0,13264",2018
86,China,East Asia,5.2458,5.9993,0.59993,71,"0,82375","0,04795","0,22613",2018
37,Colombia,Latin America and Caribbean,6.2601,5.82411,0.58241,67,"0,73353","0,16499","0,08628",2018
13,Costa Rica,Latin America and Caribbean,7.0717,6.12525,0.61252,71,"0,87169","0,23980","0,22018",2018
82,Croatia,Central and Eastern Europe,5.3212,6.76097,0.6761,69,"0,52503","0,20085","0,08523",2018
61,Cyprus,Middle East and North Africa,5.7625,7.45164,0.74516,73,"0,58353","0,33886","0,07654",2018
3,Denmark,Western Europe,7.5553,8.1935,0.81935,72,"0,94310","0,47592","0,89266",2018
83,Dominican Republic,Latin America and Caribbean,5.3018,5.953,0.5953,66,"0,79820","0,20073","0,23139",2018
48,Ecuador,Latin America and Caribbean,5.9732,5.39197,0.5392,69,"0,76765","0,19064","0,26294",2018
122,Egypt,Middle East and North Africa,4.4192,5.36904,0.5369,65,"0,43076","0,15466","0,23331",2018
40,El Salvador,Latin America and Caribbean,6.1668,4.8866,0.48866,67,"0,63587","0,10888","0,18018",2018
63,Estonia,Western Europe,5.7392,7.27703,0.7277,69,"0,76302","0,14346","0,38048",2018
127,Ethiopia,Sub-Saharan Africa,4.3502,1.86731,0.18673,62,"0,62376","0,36749","0,31958",2018
1,Finland,Western Europe,7.6321,7.91421,0.79142,72,"0,93948","0,32070","0,85993",2018
23,France,Western Europe,6.4893,7.83956,0.78396,73,"0,71818","0,16373","0,38447",2018
103,Gabon,Sub-Saharan Africa,4.7583,6.28407,0.62841,62,"0,49178","0,05361","0,11282",2018
128,Georgia,Commonwealth of Independent States,4.3405,5.17439,0.51744,67,"0,51823","0,06442","0,46992",2018
15,Germany,Western Europe,6.9647,8.12357,0.81236,72,"0,80907","0,45768","0,61239",2018
108,Ghana,Sub-Saharan Africa,4.657,3.58823,0.35882,60,"0,68812","0,35439","0,06293",2018
79,Greece,Western Europe,5.3579,6.99674,0.69967,72,"0,18072","0,00000","0,09730",2018
30,Guatemala,Latin America and Caribbean,6.3819,4.73802,0.4738,66,"0,83412","0,29922","0,15453",2018
140,Guinea,Sub-Saharan Africa,3.9641,2.08427,0.20843,58,"0,54428","0,31040","0,20532",2018
72,Honduras,Latin America and Caribbean,5.504,3.75752,0.37575,67,"0,63304","0,32935","0,16102",2018
69,Hungary,Central and Eastern Europe,5.62,7.10126,0.71013,69,"0,35751","0,10160","0,04871",2018
4,Iceland,Western Europe,7.4952,8.14589,0.81459,73,"0,93378","0,59112","0,30203",2018
133,India,South Asia,4.1898,4.37378,0.43738,64,"0,74442","0,28815","0,20391",2018
96,Indonesia,Southeast Asia,5.0926,5.45189,0.54519,64,"0,74282","0,80999","0,03858",2018
106,Iran,Middle East and North Africa,4.7066,6.41904,0.6419,68,"0,63405","0,47256","0,28289",2018
117,Iraq,Middle East and North Africa,4.4556,6.12391,0.61239,65,"0,41918","0,24709","0,20703",2018
14,Ireland,Western Europe,6.9771,8.77826,0.87783,72,"0,84746","0,51293","0,66923",2018
11,Israel,Middle East and North Africa,7.19,7.54265,0.75427,73,"0,64053","0,43921","0,17875",2018
47,Italy,Western Europe,6.0004,7.66585,0.76659,74,"0,38789","0,22850","0,06226",2018
107,Ivory Coast,Sub-Saharan Africa,4.6712,3.27954,0.32795,55,"0,64394","0,24498","0,22530",2018
56,Jamaica,Latin America and Caribbean,5.8898,4.96379,0.49638,68,"0,79405","0,16111","0,06848",2018
54,Japan,East Asia,5.915,7.8482,0.78482,75,"0,76331","0,13154","0,32754",2018
90,Jordan,Middle East and North Africa,5.1607,4.98216,0.49822,67,"0,64574","0,21729","0,29362",2018
60,Kazakhstan,Commonwealth of Independent States,5.7901,6.92895,0.6929,67,"0,62611","0,24699","0,26414",2018
124,Kenya,Sub-Saharan Africa,4.4097,2.98993,0.29899,63,"0,69526","0,58984","0,12066",2018
66,Kosovo,Central and Eastern Europe,5.6621,5.1836,0.51836,66,"0,61861","0,45827","0,05025",2018
92,Kyrgyzstan,Commonwealth of Independent States,5.1308,3.21183,0.32118,66,"0,74521","0,46971","0,07567",2018
53,Latvia,Western Europe,5.9331,6.96159,0.69616,68,"0,50098","0,15337","0,14516",2018
88,Lebanon,Middle East and North Africa,5.1989,5.84904,0.5849,70,"0,40257","0,31214","0,07353",2018
149,Liberia,Sub-Saharan Africa,3.4954,0.45922,0.04592,59,"0,57819","0,34407","0,06570",2018
50,Lithuania,Western Europe,5.9519,7.25776,0.72578,69,"0,48291","0,04378","0,01391",2018
17,Luxembourg,Western Europe,6.9099,9.55748,0.95575,73,"0,87238","0,32808","0,70243",2018
143,Madagascar,Sub-Saharan Africa,3.7736,1.59086,0.15909,62,"0,30514","0,25867","0,10621",2018
147,Malawi,Sub-Saharan Africa,3.5868,1.12839,0.11284,60,"0,73231","0,35196","0,17561",2018
35,Malaysia,Southeast Asia,6.3221,7.04231,0.70423,68,"0,49160","0,52117","0,12945",2018
118,Mali,Sub-Saharan Africa,4.447,2.24252,0.22425,56,"0,50698","0,23319","0,12232",2018
22,Malta,Western Europe,6.6266,7.7026,0.77026,72,"0,89076","0,62889","0,31128",2018
126,Mauritania,Middle East and North Africa,4.3555,3.37786,0.33779,59,"0,17742","0,22454","0,20422",2018
55,Mauritius,Sub-Saharan Africa,5.8915,6.6107,0.66107,68,"0,80596","0,41003","0,10917",2018
24,Mexico,Latin America and Caribbean,6.4882,6.29594,0.62959,70,"0,66142","0,11494","0,20724",2018
67,Moldova,Central and Eastern Europe,5.6397,3.98173,0.39817,67,"0,32046","0,28607","0,00071",2018
94,Mongolia,East Asia,5.1246,5.54363,0.55436,66,"0,54540","0,42312","0,06940",2018
81,Montenegro,Central and Eastern Europe,5.3475,6.16886,0.61689,69,"0,35787","0,18644","0,17823",2018
85,Morocco,Middle East and North Africa,5.2537,4.72266,0.47227,68,"0,63510","0,04417","0,16250",2018
130,Myanmar,Southeast Asia,4.3078,4.13651,0.41365,62,"0,80008","1,00000","0,38965",2018
101,Nepal,South Asia,4.8804,2.57953,0.25795,65,"0,72622","0,50541","0,17043",2018
6,Netherlands,Western Europe,7.4413,8.25267,0.82527,72,"0,88072","0,55786","0,64467",2018
8,New Zealand,North America and ANZ,7.3238,7.68935,0.76894,72,"0,92324","0,61109","0,85091",2018
41,Nicaragua,Latin America and Caribbean,6.141,4.05262,0.40526,68,"0,72707","0,34752","0,28115",2018
134,Niger,Sub-Saharan Africa,4.1655,0.79653,0.07965,58,"0,53802","0,29345","0,21643",2018
91,Nigeria,Sub-Saharan Africa,5.1554,4.17888,0.41789,54,"0,63750","0,33643","0,06948",2018
2,Norway,Western Europe,7.5937,8.82704,0.8827,72,"0,94747","0,47800","0,74335",2018
75,Pakistan,South Asia,5.4725,3.95645,0.39565,62,"0,46150","0,36160","0,24792",2018
27,Panama,Latin America and Caribbean,6.43,6.74448,0.67445,70,"0,82386","0,20836","0,13806",2018
64,Paraguay,Latin America and Caribbean,5.6806,5.06096,0.5061,66,"0,74611","0,27112","0,16204",2018
65,Peru,Latin America and Caribbean,5.6632,5.66092,0.56609,68,"0,73153","0,15321","0,07477",2018
71,Philippines,Southeast Asia,5.5241,4.70173,0.47017,64,"0,88732","0,20069","0,23016",2018
42,Poland,Central and Eastern Europe,6.123,7.12858,0.71286,70,"0,75327","0,18002","0,13975",2018
77,Portugal,Western Europe,5.4104,7.20119,0.72012,72,"0,77578","0,09189","0,03637",2018
52,Romania,Central and Eastern Europe,5.9452,6.76524,0.67652,69,"0,72814","0,14652","0,00151",2018
59,Russia,Commonwealth of Independent States,5.8097,6.98035,0.69803,66,"0,55114","0,10887","0,05552",2018
33,Saudi Arabia,Middle East and North Africa,6.3709,8.36094,0.83609,67,"0,70251","0,16457","0,27756",2018
109,Senegal,Sub-Saharan Africa,4.6311,2.60092,0.26009,62,"0,55978","0,23093","0,17972",2018
78,Serbia,Central and Eastern Europe,5.3982,5.91065,0.59107,68,"0,39734","0,22387","0,09388",2018
113,Sierra Leone,Sub-Saharan Africa,4.5706,1.55335,0.15534,53,"0,49026","0,39865","0,11603",2018
34,Singapore,Southeast Asia,6.3432,9.27376,0.92738,75,"0,87145","0,43746","1,00000",2018
39,Slovakia,Central and Eastern Europe,6.1734,7.33687,0.73369,70,"0,48797","0,19680","0,03024",2018
51,Slovenia,Central and Eastern Europe,5.9476,7.39238,0.73924,72,"0,87363","0,26741","0,11150",2018
105,South Africa,Sub-Saharan Africa,4.724,5.69972,0.56997,60,"0,71291","0,17297","0,12199",2018
57,South Korea,East Asia,5.8749,7.67899,0.7679,74,"0,33706","0,29205","0,11256",2018
36,Spain,Western Europe,6.3099,7.58504,0.7585,74,"0,61954","0,23689","0,16155",2018
116,Sri Lanka,South Asia,4.4706,5.56592,0.55659,68,"0,80765","0,51444","0,10982",2018
9,Sweden,Western Europe,7.3145,8.2195,0.82195,73,"0,91018","0,47638","0,83859",2018
5,Switzerland,Western Europe,7.4873,8.60934,0.86093,73,"0,91070","0,42761","0,78053",2018
153,Tanzania,Sub-Saharan Africa,3.3035,2.75833,0.27583,61,"0,66382","0,45189","0,21270",2018
46,Thailand,Southeast Asia,6.0723,6.16091,0.61609,69,"0,87972","0,60841","0,06378",2018
139,Togo,Sub-Saharan Africa,3.9985,1.57278,0.15728,58,"0,59922","0,26475","0,22031",2018
111,Tunisia,Middle East and North Africa,4.5924,5.4561,0.54561,68,"0,37338","0,06729","0,13730",2018
135,Uganda,Sub-Saharan Africa,4.1608,1.95126,0.19513,58,"0,62074","0,43413","0,13262",2018
138,Ukraine,Commonwealth of Independent States,4.1029,4.80881,0.48088,66,"0,22440","0,31287","0,02504",2018
20,United Arab Emirates,Middle East and North Africa,6.7741,8.89677,0.88968,70,"0,92458","0,47512","0,40621",2018
19,United Kingdom,Western Europe,6.8143,7.89125,0.78913,72,"0,73525","0,59295","0,59538",2018
18,United States,North America and ANZ,6.886,8.47785,0.84778,71,"0,75547","0,48629","0,29200",2018
31,Uruguay,Latin America and Caribbean,6.3788,6.626,0.6626,70,"0,86249","0,21691","0,33992",2018
44,Uzbekistan,Commonwealth of Independent States,6.0961,4.35917,0.43592,66,"1,00000","0,54854","0,56622",2018
102,Venezuela,Latin America and Caribbean,4.8056,6.03779,0.60378,67,"0,18372","0,09425","0,11299",2018
95,Vietnam,Southeast Asia,5.1032,4.33358,0.43336,68,"0,85336","0,29628","0,17397",2018
125,Zambia,Sub-Saharan Africa,4.3771,3.41039,0.34104,59,"0,69374","0,37046","0,17933",2018
144,Zimbabwe,Sub-Saharan Africa,3.6923,2.16659,0.21666,58,"0,56038","0,22083","0,21651",2018
1,Finland,Western Europe,7.7689,7.95824,0.9776,76,"0,94400","0,26989","0,86796",2019
2,Denmark,Western Europe,7.6001,8.21474,0.96855,76,"0,93839","0,44593","0,90675",2019
3,Norway,Western Europe,7.5539,8.83423,0.97407,77,"0,95605","0,47948","0,75302",2019
4,Iceland,Western Europe,7.4936,8.19529,1.0,77,"0,93609","0,62627","0,26062",2019
5,Netherlands,Western Europe,7.4876,8.28945,0.93733,76,"0,88250","0,56986","0,65824",2019
6,Switzerland,Western Europe,7.4802,8.6233,0.94003,77,"0,90538","0,46563","0,75685",2019
7,Sweden,Western Europe,7.3433,8.23337,0.91603,76,"0,90998","0,47192","0,82442",2019
8,New Zealand,North America and ANZ,7.3075,7.73464,0.95909,77,"0,92697","0,58294","0,84005",2019
9,Canada,North America and ANZ,7.2781,8.10463,0.92676,77,"0,92508","0,50373","0,68047",2019
10,Austria,Western Europe,7.246,8.16785,0.90858,76,"0,84290","0,43046","0,49973",2019
11,Australia,North America and ANZ,7.228,8.14412,0.95338,77,"0,88265","0,58596","0,64054",2019
12,Costa Rica,Latin America and Caribbean,7.1674,6.14128,0.88758,76,"0,88402","0,25520","0,20648",2019
13,Israel,Middle East and North Africa,7.1387,7.57582,0.89591,77,"0,58706","0,46211","0,18141",2019
14,Luxembourg,Western Europe,7.0903,9.55268,0.91079,76,"0,83353","0,34339","0,69738",2019
15,United Kingdom,Western Europe,7.0537,7.91495,0.94699,76,"0,71212","0,61547","0,61322",2019
16,Ireland,Western Europe,7.0211,8.90223,0.95665,76,"0,81683","0,52711","0,68534",2019
17,Germany,Western Europe,6.985,8.15021,0.8955,76,"0,78460","0,46211","0,58535",2019
18,Belgium,Western Europe,6.923,8.04987,0.9265,76,"0,74861","0,28242","0,46316",2019
19,United States,North America and ANZ,6.8923,8.50777,0.89757,74,"0,71946","0,49468","0,28217",2019
21,United Arab Emirates,Middle East and North Africa,6.8245,8.92248,0.80668,73,"0,94804","0,46355","0,40133",2019
22,Malta,Western Europe,6.7256,7.71893,0.93597,76,"0,89394","0,66334","0,33295",2019
23,Mexico,Latin America and Caribbean,6.5945,6.35232,0.81488,74,"0,68613","0,12998","0,16061",2019
24,France,Western Europe,6.5921,7.86139,0.90663,77,"0,68998","0,19634","0,40467",2019
26,Chile,Latin America and Caribbean,6.444,6.88166,0.84301,75,"0,56489","0,32981","0,12394",2019
27,Guatemala,Latin America and Caribbean,6.4362,4.75186,0.78187,71,"0,84722","0,30948","0,17194",2019
28,Saudi Arabia,Middle East and North Africa,6.3747,8.33026,0.83549,72,"0,69496","0,14206","0,29172",2019
30,Spain,Western Europe,6.3541,7.63488,0.91426,77,"0,57362","0,27022","0,17355",2019
31,Panama,Latin America and Caribbean,6.3213,6.82503,0.88785,75,"0,81690","0,19227","0,11992",2019
32,Brazil,Latin America and Caribbean,6.2998,5.96248,0.88621,72,"0,61761","0,17536","0,18922",2019
33,Uruguay,Latin America and Caribbean,6.2933,6.6764,0.90209,74,"0,82773","0,22358","0,33236",2019
34,Singapore,Southeast Asia,6.262,9.33188,0.90119,79,"0,88089","0,47822","1,00000",2019
35,El Salvador,Latin America and Caribbean,6.2531,4.71618,0.7647,72,"0,68144","0,16451","0,16430",2019
36,Italy,Western Europe,6.2234,7.68618,0.91647,77,"0,36560","0,27917","0,06596",2019
38,Slovakia,Central and Eastern Europe,6.1976,7.4,0.92652,74,"0,52940","0,21371","0,03102",2019
40,Poland,Central and Eastern Europe,6.1817,7.16074,0.88595,74,"0,76476","0,20633","0,11154",2019
41,Uzbekistan,Commonwealth of Independent States,6.1741,4.42445,0.94177,72,"1,00000","0,56928","0,52985",2019
42,Lithuania,Western Europe,6.149,7.35239,0.93325,73,"0,46163","0,07536","0,09236",2019
43,Colombia,Latin America and Caribbean,6.1248,5.85077,0.86822,73,"0,74400","0,17434","0,07539",2019
44,Slovenia,Central and Eastern Europe,6.1177,7.46925,0.9381,75,"0,89330","0,25499","0,12641",2019
45,Nicaragua,Latin America and Caribbean,6.105,4.12021,0.81577,73,"0,68852","0,35259","0,28139",2019
46,Kosovo,Central and Eastern Europe,6.1,5.23937,0.75906,72,"0,77540","0,46305","0,01424",2019
47,Argentina,Latin America and Caribbean,6.0863,6.48132,0.88166,74,"0,74557","0,11650","0,10978",2019
48,Romania,Central and Eastern Europe,6.0697,6.89896,0.75848,73,"0,73214","0,14604","0,01056",2019
49,Cyprus,,6.0458,7.50051,0.75329,77,"0,64287","0,33664","0,08973",2019
50,Ecuador,Latin America and Caribbean,6.0276,5.41414,0.80812,74,"0,78813","0,22310","0,19277",2019
52,Thailand,Southeast Asia,6.008,6.23303,0.86769,73,"0,88265","0,63442","0,06184",2019
53,Latvia,Western Europe,5.9397,7.04728,0.90211,73,"0,41886","0,13241","0,14108",2019
54,South Korea,East Asia,5.8947,7.72522,0.75089,77,"0,25236","0,30875","0,12378",2019
55,Estonia,Western Europe,5.8935,7.34417,0.94099,74,"0,78441","0,18213","0,35525",2019
56,Jamaica,Latin America and Caribbean,5.8898,4.93592,0.91008,73,"0,77563","0,18897","0,06239",2019
